#hg38.knownCanonical.transcript	hg38.refGene.name	hg38.refGene.name2
ENST00000367772.8	NM_181093	SCYL3
ENST00000367400.7	NM_201253	CRB1
ENST00000256785.4	NM_030787	CFHR5
ENST00000257075.9	NM_014676	PUM1
ENST00000360482.6	NM_144569	SPOCD1
ENST00000373477.8	NM_003680	YARS
ENST00000257118.5	NM_198040	PHC2
ENST00000373055.5	NM_001256875	CDCA8
ENST00000373062.7	NM_013285	GNL2
ENST00000373210.3	NM_017629	AGO4
ENST00000371208.3	NM_015888	HOOK1
ENST00000371204.3	NM_000775	CYP2J2
ENST00000313334.12	NM_152265	BTF3L4
ENST00000257177.8	NM_001009881	TUT4
ENST00000257181.9	NM_032864	PRPF38A
ENST00000366667.4	NM_000029	AGT
ENST00000465049.6	NR_037894	ZNF670-ZNF695
ENST00000258229.13	NM_014801	PCNX2
ENST00000366621.7	NM_002245	KCNK1
ENST00000258243.6	NM_014777	URB2
ENST00000366641.3	NM_022051	EGLN1
ENST00000271971.6	NM_006615	CAPN9
ENST00000366669.8	NM_007357	COG2
ENST00000344517.4	NM_012089	ABCB10
ENST00000366628.9	NM_032324	NTPCR
ENST00000258281.6	NM_014409	TAF5L
ENST00000331872.10	NM_001033044	GLUL
ENST00000258301.5	NM_005819	STX6
ENST00000367557.8	NM_001102450	RGS8
ENST00000367559.7	NM_021133	RNASEL
ENST00000367549.3	NM_001357	DHX9
ENST00000367588.8	NM_020950	KIAA1614
ENST00000367607.7	NM_014810	CEP350
ENST00000367553.5	NM_030769	NPL
ENST00000367511.3	NM_052966	NIBAN1
ENST00000367728.1	n/a	n/a
ENST00000258341.4	NM_002293	LAMC1
ENST00000367696.6	NM_172071	RC3H1
ENST00000366923.7	NM_004446	EPRS
ENST00000366903.7	NM_021958	HLX
ENST00000369130.7	NM_001279354	VPS45
ENST00000423557.1	NM_000572	IL10
ENST00000259154.8	NM_016121	KCTD3
ENST00000366960.7	NM_012424	RPS6KC1
ENST00000370244.5	NM_001261408	BCAR3
ENST00000260505.12	NM_024686	TTLL7
ENST00000271234.11	NM_001164473	FNBP1L
ENST00000260508.8	NM_001008661	KYAT3
ENST00000370500.9	NM_001514	GTF2B
ENST00000362005.7	NM_001242805	BRDT
ENST00000319942.7	NM_004582	RABGGTB
ENST00000370751.9	NM_006820	IFI44L
ENST00000370759.3	NM_017655	GIPC2
ENST00000260526.10	NM_004815	ARHGAP29
ENST00000370747.8	NM_006417	IFI44
ENST00000370855.5	NM_001320283	SLC44A5
ENST00000468715.1	n/a	n/a
ENST00000370565.4	NM_006536	CLCA2
ENST00000370665.3	NM_021233	DNASE2B
ENST00000370132.8	NM_001918	DBT
ENST00000370128.8	NM_003729	RTCA
ENST00000340758.6	NM_153758	IL19
ENST00000377424.8	NM_003039	SLC2A5
ENST00000337907.7	NM_012102	RERE
ENST00000378412.7	NM_033467,	MMEL1,
ENST00000493964.5	NM_001304360	CFAP74
ENST00000270722.9	NM_022114	PRDM16
ENST00000359621.4	NM_033440	CELA2A
ENST00000375460.3	NM_016233,	PADI3,
ENST00000358897.8	NM_052929	FHAD1
ENST00000375471.4	NM_013358,	PADI1,
ENST00000358432.7	NM_004431	EPHA2
ENST00000270747.7	NM_153213	ARHGEF19
ENST00000375980.8	NM_024329	EFHD2
ENST00000356607.8	NM_004565	PEX14
ENST00000270776.12	NM_002631	PGD
ENST00000374434.3	NM_152372	MYOM3
ENST00000270792.9	NM_031286	SH3BGRL3
ENST00000361530.10	NM_006314	CNKSR1
ENST00000643754.2	NM_000975	RPL11
ENST00000270800.1	NM_021258	IL22RA1
ENST00000374266.6	NM_015871	ZNF593
ENST00000270815.4	NM_152374	C1orf216
ENST00000325722.7	NM_024874	KIAA0319L
ENST00000270824.1	NM_018166	EVA1B
ENST00000373374.7	NM_032884	C1orf94
ENST00000404795.3	NM_032110	DMRTA2
ENST00000493901.5	NM_004672	MAP3K6
ENST00000270879.8	NM_003665	FCN3
ENST00000374135.8	NM_018066	GPN2
ENST00000318074.9	NM_032872	SYTL1
ENST00000361771.7	NM_015023	WDTC1
ENST00000290122.7	NM_005747	CELA3A
ENST00000318249.9	NM_032264	NBPF3
ENST00000374695.7	NM_005529	HSPG2
ENST00000271002.14	NM_014288	ITGB3BP
ENST00000370994.8	NM_015640	SERBP1
ENST00000370580.6	NM_001320715	BCL10
ENST00000451137.6	NM_001554	CCN1
ENST00000370685.7	NM_182948	PRKACB
ENST00000370812.7	NM_005482	PIGK
ENST00000271064.11	NM_022164	TINAGL1
ENST00000373443.7	NM_001293562	AZIN2
ENST00000396651.7	NM_001012	RPS8
ENST00000372224.8	NM_006845	KIF2C
ENST00000359947.8	NM_002840	PTPRF
ENST00000372207.3	NM_153274	BEST4
ENST00000319928.7	NM_201403	MOB3C
ENST00000271153.8	NM_000779	CYP4B1
ENST00000371268.3	NM_182532	TMEM61
ENST00000371445.3	NM_033067	DMRTB1
ENST00000370544.9	NM_006769	LMO4
ENST00000369872.3	NM_001040709	SYPL2
ENST00000370445.4	NM_020063	BARHL2
ENST00000370298.8	NM_007358	MTF2
ENST00000467909.5	NM_152369	SLC44A3
ENST00000369483.5	NM_001007237	IGSF3
ENST00000421812.2	NM_001080470	ZNF697
ENST00000271277.10	NM_018704	CTTNBP2NL
ENST00000369795.7	NM_033088	STRIP1
ENST00000369771.4	NM_005549	KCNA10
ENST00000271308.8	NM_002790	PSMA5
ENST00000370017.7	NM_001144937	FNDC7
ENST00000343534.9	NM_174896	C1orf162
ENST00000648608.1	NM_001040033	CD53
ENST00000271331.3	NM_032414	PROK1
ENST00000271332.3	NM_001408	CELSR2
ENST00000369304.7	NM_003637	ITGA10
ENST00000367835.1	NM_001267610	GPR161
ENST00000354775.4	NM_000696	ALDH9A1
ENST00000367816.5	NM_001677	ATP1B1
ENST00000367833.6	NM_152902	TIPRL
ENST00000367811.7	NM_013330	NME7
ENST00000367876.8	NM_017542	POGK
ENST00000367846.8	NR_026550	MPC2
ENST00000370509.4	NM_003851	CREG1
ENST00000367843.7	NM_018442	DCAF6
ENST00000367868.3	NM_005814	GPA33
ENST00000359842.9	NM_006917	RXRG
ENST00000367821.7	NM_005149	TBX19
ENST00000367879.8	NM_012474	UCK2
ENST00000392129.10	NM_019026	TMCO1
ENST00000367818.3	NM_002995	XCL1
ENST00000367819.2	NM_003175	XCL2
ENST00000367866.6	NM_002697	POU2F1
ENST00000367872.8	NM_032858	MAEL
ENST00000271417.7	NM_199351	ILDR2
ENST00000367817.3	NM_001937	DPT
ENST00000367889.7	NM_004528	MGST3
ENST00000367851.8	NM_018417	ADCY10
ENST00000367669.7	NM_022457	COP1
ENST00000368012.3	NM_030916	NECTIN4
ENST00000368003.5	NM_016406	UFC1
ENST00000352210.9	NM_000309	PPOX
ENST00000367972.8	NM_021642	FCGR2A
ENST00000367900.7	NM_031423	NUF2
ENST00000313961.9	NM_003617	RGS5
ENST00000367975.6	NM_003001	SDHC
ENST00000368010.3	NM_012394	PFDN2
ENST00000367983.8	NM_005122	NR1I3
ENST00000368002.7	NM_001014443	USP21
ENST00000367412.1	NM_001994	F13B
ENST00000271526.8	NM_005973	PRCC
ENST00000361835.7	NM_031281	FCRL5
ENST00000368216.8	NM_015997	RRNAD1
ENST00000368211.8	NM_024540	MRPL24
ENST00000368090.4	NM_145167	PIGM
ENST00000368078.7	NM_001231	CASQ1
ENST00000313146.10	NM_001303095	ISG20L2
ENST00000621784.4	NM_001199723	CRABP2
ENST00000357325.9	NM_004494	HDGF
ENST00000502732.5	NM_007314	ABL2
ENST00000367590.8	NM_004736	XPR1
ENST00000367558.5	NM_002928	RGS16
ENST00000606911.6	NM_015602	TOR1AIP1
ENST00000341785.4	NM_173509	FAM163A
ENST00000271588.8	NM_031935	HMCN1
ENST00000304685.8	NM_015149	RGL1
ENST00000366928.9	NM_138794	LYPLAL1
ENST00000367390.7	NM_001014434	LHX9
ENST00000271620.7	NM_021222	PRUNE1
ENST00000318247.6	NM_005060	RORC
ENST00000368849.7	NM_020127	TUFT1
ENST00000271628.8	NM_005850	SF3B4
ENST00000369047.8	NM_004425	ECM1
ENST00000336715.10	NM_020832	ZNF687
ENST00000369064.7	NM_025150	TARS2
ENST00000271636.11	NM_020770	CGN
ENST00000458013.6	NM_001330723	SNX27
ENST00000368969.8	NM_012432	SETDB1
ENST00000271643.8	NM_019032	ADAMTSL4
ENST00000369026.2	NM_021960	MCL1
ENST00000271651.7	NM_000396	CTSK
ENST00000290524.8	NM_000449	RFX5
ENST00000368874.8	NM_001198774	PI4KB
ENST00000349792.9	NM_003557	PIP5K1A
ENST00000583931.5	NM_030920	ANP32E
ENST00000361936.9	NM_018379	MINDY1
ENST00000368947.8	NM_003568	ANXA9
ENST00000368868.9	NM_003944	SELENBP1
ENST00000368954.9	NM_022075	CERS2
ENST00000369014.9	NM_004436	ENSA
ENST00000368914.7	NM_030913	SEMA6C
ENST00000368830.7	NM_031420	MRPL9
ENST00000358595.9	NM_001668	ARNT
ENST00000271715.6	NM_015100	POGZ
ENST00000368926.5	NM_017860	C1orf56
ENST00000639906.1	NM_016178	OAZ3
ENST00000361824.6	NM_032132	HORMAD1
ENST00000271732.7	NM_018178	GOLPH3L
ENST00000368918.7	NM_001323906	GABPB2
ENST00000472886.5	NM_153262	SYT14
ENST00000271751.9	NM_172362	KCNH1
ENST00000366991.4	NM_016448	DTL
ENST00000367109.6	NM_003582	DYRK3
ENST00000271764.6	NM_006893	EIF2D
ENST00000366994.7	NM_015434	INTS7
ENST00000517399.2	NM_001301056	VASH2
ENST00000350027.8	NM_001201536	TAF1A
ENST00000366957.9	NM_020197	SMYD2
ENST00000366878.8	NM_017982	SUSD4
ENST00000366899.3	NM_007207	DUSP10
ENST00000343410.6	NM_024746	HHIPL2
ENST00000343537.11	NM_001031685	TP53BP2
ENST00000368489.3	NM_020452	ATP8B2
ENST00000388718.5	NM_001014342	FLG2
ENST00000271835.3	NM_016190	CRNN
ENST00000356955.6	NM_207197	ADAM15
ENST00000271843.8	NM_006694	JTB
ENST00000368575.3	NM_002870	RAB13
ENST00000368733.3	NM_002964	S100A8
ENST00000368530.6	NM_152263	TPM3
ENST00000368559.7	NM_207308	NUP210L
ENST00000368685.5	NM_012437	SNAPIN
ENST00000624995.3	NM_024330,	SLC27A3,
ENST00000368723.3	NM_002963	S100A7
ENST00000428931.5	NM_014847	UBAP2L
ENST00000617697.4	NM_001271960	SLC39A1
ENST00000328703.11	NM_006118	HAX1
ENST00000368607.7	NM_001255978	CREB3L4
ENST00000368408.3	NM_004952	EFNA3
ENST00000324978.7	NM_080429	AQP10
ENST00000271915.8	NM_002249	KCNN3
ENST00000368521.9	NM_001098616	C1orf43
ENST00000368655.4	NM_020699,	GATAD2B,
ENST00000361891.8	NM_004515	ILF2
ENST00000368323.7	NM_006912	RIT1
ENST00000318967.6	NM_023015,	INTS3,
ENST00000392414.7	NM_181871,	PKLR,
ENST00000368358.3	NM_020897,	HCN3,
ENST00000368799.1	NM_002016	FLG
ENST00000366684.7	NM_001100	ACTA1
ENST00000366649.6	NM_152379	C1orf131
ENST00000366672.4	NM_004481	GALNT2
ENST00000366661.8	NM_024525	TTC13
ENST00000366510.3	NM_016002	SCCPDH
ENST00000389793.6	NM_000081	LYST
ENST00000366624.7	NM_032435	MAP3K21
ENST00000366542.5	NM_014812,	CEP170,
ENST00000315781.9	NM_053052	SNAP47
ENST00000304786.11	NM_003133	SRP9
ENST00000281701.10	NM_002533	NVL
ENST00000272091.7	NM_152608	SDE2
ENST00000323699.8	NM_003676	DEGS1
ENST00000366862.9	NM_015176	FBXO28
ENST00000272102.9	NM_001658	ARF1
ENST00000366820.9	NM_003240	LEFTY2
ENST00000465271.5	NM_014184	CNIH4
ENST00000429204.5	NM_002221	ITPKB
ENST00000366730.5	NM_001242839	GUK1
ENST00000366769.7	NM_003607	CDC42BPA
ENST00000272133.3	NM_152495	CNIH3
ENST00000272139.4	NM_024319	C1orf35
ENST00000366794.9	NM_001618	PARP1
ENST00000366783.7	NM_000447	PSEN2
ENST00000343818.10	NM_013328	PYCR2
ENST00000338179.6	NM_194442	LBR
ENST00000272164.5	NM_003395	WNT9A
ENST00000272167.9	NM_001136018	EPHX1
ENST00000272190.8	NM_000537	REN
ENST00000367204.5	NM_005686	SOX13
ENST00000367202.8	NM_018208	ETNK2
ENST00000367240.6	NM_001304331	PPFIA4
ENST00000272203.7	NM_014935	PLEKHA6
ENST00000309017.7	NM_002832	PTPN7
ENST00000367268.4	NM_177402	SYT2
ENST00000272217.6	NM_138795	ARL8A
ENST00000314607.10	NM_005095	ZMYM4
ENST00000378486.7	NM_014638,	PLCH2,
ENST00000369168.4	NM_000566	FCGR1A
ENST00000367460.3	NM_130782	RGS18
ENST00000403060.2	n/a	n/a
ENST00000367385.8	NM_133494	NEK7
ENST00000281087.6	NM_133262,	ATP6V1G3,
ENST00000251507.8	NM_014857	RABGAP1L
ENST00000370203.8	NM_152487	TLCD4
ENST00000361833.6	NM_004319	ASTN1
ENST00000366956.9	NM_005401	PTPN14
ENST00000489294.1	NM_175866	UHMK1
ENST00000367874.4	NM_053053	TADA1
ENST00000282670.6	NM_152665	TCTEX1D1
ENST00000371026.7	NM_024763	WDR78
ENST00000358966.6	NM_001037277	GGPS1
ENST00000614012.4	NM_001531	MR1
ENST00000444376.7	NM_004501	HNRNPU
ENST00000326225.3	NM_015446	AHCTF1
ENST00000283225.2	NM_001004732	OR14K1
ENST00000423222.5	NR_026761	LINC00467
ENST00000284027.5	NM_153259	MCOLN2
ENST00000284031.12	NM_012137	DDAH1
ENST00000466454.1	NR_024604	CLCA3P
ENST00000370550.9	NM_012262	HS2ST1
ENST00000284142.6	NM_080868	ASB17
ENST00000354567.6	NM_174858	AK5
ENST00000505841.5	NR_002788	CYP4Z2P
ENST00000371586.6	NM_032449	CC2D1B
ENST00000344922.9	NM_198551	MIA3
ENST00000284476.7	NM_032890	DISP1
ENST00000284523.1	NM_033131	WNT3A
ENST00000570156.6	NM_001271223	OBSCN
ENST00000284551.10	NM_145214	TRIM11
ENST00000366844.7	NM_001008493	ENAH
ENST00000284617.6	NM_145257	CCSAP
ENST00000370459.7	NM_052942	GBP5
ENST00000370310.4	NM_001006605	DIPK1A
ENST00000413052.6	NM_020963	MOV10
ENST00000369642.7	NM_001042678	RHOC
ENST00000309276.10	NM_005167	PPM1J
ENST00000369626.7	NM_003051,	SLC16A1,
ENST00000336338.9	NM_206996	SPAG17
ENST00000319653.13	NM_020066	FMN2
ENST00000527748.5	NM_031936	GPR61
ENST00000369792.4	NM_006492	ALX3
ENST00000539140.5	NM_178454	DRAM2
ENST00000646001.1	NM_001013660	FRRS1
ENST00000370152.7	NM_033055	MFSD14A
ENST00000287482.5	NM_194292	SASS6
ENST00000367547.7	NM_030933	SHCBP1L
ENST00000287713.6	NM_015039	NMNAT2
ENST00000287727.7	NM_004799	ZFYVE9
ENST00000361249.3	NM_000562	C8A
ENST00000287859.10	NM_017847	ODR4
ENST00000371486.3	NM_000098	CPT2
ENST00000337132.9	NM_018090	NECAP2
ENST00000306052.10	NM_004631	LRP8
ENST00000371330.1	NM_201546	CDCP2
ENST00000371320.7	NM_145716	SSBP3
ENST00000614859.4	NM_152290	C1orf158
ENST00000419916.7	NM_152371,	PRXL2B,
ENST00000355716.4	NM_003820,	TNFRSF14,
ENST00000378466.7	NM_018216,	PANK4,
ENST00000447513.6	NM_002617	PEX10
ENST00000605895.5	NM_007033	RER1
ENST00000378536.4	NM_003036	SKI
ENST00000374338.4	NM_015627	LDLRAP1
ENST00000374282.7	NM_000437	PAFAH2
ENST00000374280.3	NM_004455	EXTL1
ENST00000374276.3	NM_001004434	SLC30A2
ENST00000374272.3	NM_032588	TRIM63
ENST00000361548.8	NM_198173	GRHL3
ENST00000374222.5	NM_145345	UBXN11
ENST00000378344.6	NM_182752	TPRG1L
ENST00000373884.5	NM_018053	XKR8
ENST00000373871.7	NM_001990	EYA3
ENST00000618852.4	NM_006990	WASF2
ENST00000289166.5	NM_052943	TENT5B
ENST00000377939.4	NM_207396	RNF207
ENST00000377893.2	NM_207370	GPR153
ENST00000372990.5	NM_017821	RHBDL2
ENST00000368171.3	NM_001766	CD1D
ENST00000289429.5	NM_001763	CD1A
ENST00000368170.7	NM_001765	CD1C
ENST00000368168.3	NM_001764	CD1B
ENST00000368167.7	NM_030893	CD1E
ENST00000367188.4	NM_032833	PPP1R15B
ENST00000368097.8	NM_003564	TAGLN2
ENST00000357992.8	NM_001973	ELK4
ENST00000289707.9	NM_020125	SLAMF8
ENST00000367145.3	NM_033102	SLC45A3
ENST00000368109.5	NM_001319659	DUSP23
ENST00000289731.2	n/a	n/a
ENST00000602662.1	NM_001204089	MICOS10-NBL1
ENST00000289753.1	NM_000871	HTR6
ENST00000368029.3	NM_080878	ITLN2
ENST00000368026.10	NM_016946	F11R
ENST00000368021.7	NM_007122	USF1
ENST00000375102.3	NM_022819	PLA2G2F
ENST00000368009.6	NM_005600	NIT1
ENST00000545495.5	NM_001039711	DEDD
ENST00000375079.6	NM_001039500	VWA5B1
ENST00000375071.3	NM_001785	CDA
ENST00000321556.4	NM_032409	PINK1
ENST00000622395.4	NM_001199873	B4GALT3
ENST00000367996.5	NM_005099	ADAMTS4
ENST00000367993.7	NM_004550	NDUFS2
ENST00000289902.1	NM_004106	FCER1G
ENST00000367990.7	NM_001643	APOA2
ENST00000367988.7	NM_032174	TOMM40L
ENST00000533357.4	NM_000530	MPZ
ENST00000290039.5	NM_020925	CACHD1
ENST00000642260.1	NM_203342	EPB41
ENST00000369146.7	NM_014849	SV2A
ENST00000391967.6	NM_005558	LAD1
ENST00000336092.8	NM_003281	TNNI1
ENST00000367306.5	NM_004078	CSRP1
ENST00000374640.8	NM_172369	C1QC
ENST00000369095.5	NM_001300838	CIART
ENST00000372318.7	NM_152499	CCDC24
ENST00000375448.4	NM_012387,	PADI4,
ENST00000340990.9	NM_015999	ADIPOR1
ENST00000367249.8	NM_016243	CYB5R1
ENST00000368884.7	NM_001330692	PSMD4
ENST00000326735.12	NM_022089	ATP13A2
ENST00000290541.6	NM_002796	PSMB4
ENST00000290551.4	NM_006763	BTG2
ENST00000290583.8	NM_007185	CELF3
ENST00000375341.7	NM_003748	ALDH4A1
ENST00000368814.7	NM_053055	THEM4
ENST00000614923.1	NM_007113	TCHH
ENST00000368780.3	NM_014357	LCE2B
ENST00000372457.8	NM_201542	MED8
ENST00000368748.4	NM_001014291	SPRR2G
ENST00000290722.1	NM_052891	PGLYRP3
ENST00000528266.5	NM_001114938	CCDC17
ENST00000355105.7	NM_021639	GPBP1L1
ENST00000372025.4	NM_016486	TMEM69
ENST00000371933.7	NM_014774	EFCAB14
ENST00000377038.7	NM_004401	DFFA
ENST00000373602.9	NM_024296	CCDC28B
ENST00000291358.10	NM_018134	IQCC
ENST00000309777.10	NM_019118	TMEM234
ENST00000455895.6	NM_018045	BSDC1
ENST00000373510.8	NM_001040441	ZBTB8A
ENST00000308647.7	NM_031921	ATAD3B
ENST00000291386.3	NM_014188	SSU72
ENST00000349431.10	NM_058167	UBE2J2
ENST00000539719.5	NM_152493	ZNF362
ENST00000496770.1	NM_001171941	FNDC5
ENST00000292169.5	NM_006271	S100A1
ENST00000368694.7	NM_015607	CHTOP
ENST00000535420.5	NM_001256455	ZBTB7B
ENST00000315144.14	NM_201398	FLAD1
ENST00000368453.8	NM_003029	SHC1
ENST00000649021.1	NM_001365045	ADAR
ENST00000368485.7	NM_000565	IL6R
ENST00000292211.4	NM_017582	UBE2Q1
ENST00000368476.3	NM_000748	CHRNB2
ENST00000368633.1	NM_181715	CRTC2
ENST00000368356.8	NM_002004	FDPS
ENST00000368349.8	NM_014328	RUSC1
ENST00000368374.5	NR_002188,	GBAP1,
ENST00000361361.6	NM_006589,	FAM189B,
ENST00000292291.9	NM_198406	PAQR6
ENST00000368277.3	NM_007221	PMF1
ENST00000359511.4	NM_014655	SLC25A44
ENST00000368300.8	NM_170707	LMNA
ENST00000368309.3	NM_020131	UBQLN4
ENST00000368232.8	NM_182679	GPATCH4
ENST00000337428.7	NM_144702	LRRC71
ENST00000368184.7	NM_052939	FCRL3
ENST00000371891.7	NM_001010969	CYP4A22
ENST00000371885.1	NM_005764	PDZK1IP1
ENST00000371884.6	NM_001287347	TAL1
ENST00000371873.9	NM_016308	CMPK1
ENST00000371833.3	NM_024603	BEND5
ENST00000371823.8	NM_021952	ELAVL4
ENST00000371538.4	NM_023077	COA7
ENST00000294353.6	NM_024646	ZYG11B
ENST00000371494.8	NM_006671	SLC1A7
ENST00000294360.4	NM_017887	CZIB
ENST00000371470.7	NM_002370	MAGOH
ENST00000371316.3	NM_015547	ACOT11
ENST00000302250.6	NM_176782	FAM151A
ENST00000371279.3	NM_152268	PARS2
ENST00000358193.7	NM_152607	LEXM
ENST00000371265.5	NM_057176	BSND
ENST00000294383.6	NM_015306	USP24
ENST00000371250.3	NM_003713	PLPP3
ENST00000377705.5	NM_024654	NOL9
ENST00000371244.8	NM_006252	PRKAA2
ENST00000377658.8	NM_014851	KLHL21
ENST00000359600.5	NM_020883	ZSWIM5
ENST00000294409.2	NM_006582	GMEB1
ENST00000471889.5	NM_001080397	SLC45A1
ENST00000361547.6	NM_020451	SELENON
ENST00000545314.5	NM_203464	AK4
ENST00000342505.4	NM_002227	JAK1
ENST00000371072.8	NM_018211	RAVER2
ENST00000375949.4	NM_007272	CTRC
ENST00000377223.5	NM_032368	LZIC
ENST00000294435.7	NM_052960	RBP7
ENST00000481882.6	NM_001322255	KNCN
ENST00000375771.5	NM_001350151	FBLIM1
ENST00000375782.1	NM_001013641	TMEM82
ENST00000294454.5	NM_207348	SLC25A34
ENST00000361640.4	NM_012067	AKR7A3
ENST00000294485.5	NM_198545	DRAXIN
ENST00000294489.10	NM_006474	PDPN
ENST00000376085.3	NM_001010847	LRRC38
ENST00000616661.4	NM_004753	DHRS3
ENST00000373765.4	NM_002379	MATN1
ENST00000294507.3	NM_006762	LAPTM5
ENST00000339394.6	NM_014654	SDC3
ENST00000373703.4	NM_012392	PEF1
ENST00000409190.7	NM_030786	SYNC
ENST00000373493.9	NM_005610	RBBP4
ENST00000401073.6	NM_020888	KIAA1522
ENST00000373534.3	NM_052841	TSSK3
ENST00000294543.10	NM_181719	TMCO4
ENST00000375099.3	NM_152376	UBXN10
ENST00000375078.3	NM_018584	CAMK2N1
ENST00000374840.7	NM_000478	ALPL
ENST00000290167.10	NM_030761	WNT4
ENST00000379290.5	NM_001130045	TTLL10
ENST00000379116.9	NM_001130413	SCNN1D
ENST00000309212.10	NM_001282582	MXRA8
ENST00000378546.8	NM_182533	FAAP20
ENST00000356575.8	NM_001409	MEGF6
ENST00000294600.6	NM_152492	CCDC27
ENST00000347310.9	NM_144701	IL23R
ENST00000370981.2	NM_004675	DIRAS3
ENST00000371201.3	NM_152377	C1orf87
ENST00000371187.7	NM_005595	NFIA
ENST00000371226.7	NM_145243	OMA1
ENST00000472487.5	NM_001085487	MYSM1
ENST00000606498.5	NM_032027	TM2D1
ENST00000371146.5	NM_001017415	USP1
ENST00000370768.6	NM_003902	FUBP1
ENST00000334785.11	NM_144573	NEXN
ENST00000370763.5	NM_007034	DNAJB4
ENST00000370742.3	NM_022159	ADGRL4
ENST00000354431.8	NM_001105659	LRRIQ3
ENST00000294635.4	NM_001364665	LRRC53
ENST00000370867.7	NM_138467	TYW3
ENST00000356261.3	NM_001256114	LHX8
ENST00000306121.7	NM_015976	SNX7
ENST00000367434.4	NM_003783	B3GALT2
ENST00000370073.6	NM_001312688	NTNG1
ENST00000370035.7	NM_001010883	FAM102B
ENST00000370032.9	NM_144584	HENMT1
ENST00000370001.7	NM_152763	AKNAD1
ENST00000471115.5	NM_198077	C1orf52
ENST00000294664.10	NM_145172	WDR63
ENST00000370466.3	NM_004120	GBP2
ENST00000369870.7	NM_153340	ATXN7L2
ENST00000355754.6	NM_052941	GBP4
ENST00000340281.8	NM_182976	ZNF326
ENST00000370425.7	NM_001017975	HFM1
ENST00000367462.4	NM_199051	BRINP3
ENST00000294702.5	NM_005263	GFI1
ENST00000294725.13	NM_198503	KCNT2
ENST00000361915.7	NM_000642	AGL
ENST00000294728.6	NM_001078	VCAM1
ENST00000370114.7	NM_001033025	EXTL2
ENST00000370112.8	NM_001144884	SLC30A7
ENST00000440278.2	n/a	n/a
ENST00000294740.3	NM_012482	ZNF281
ENST00000359856.10	NM_005717	ARPC5
ENST00000368124.8	NM_021189	CADM3
ENST00000391828.7	NM_001079821	NLRP3
ENST00000294753.8	NM_032752	ZNF496
ENST00000366481.3	NM_015431	TRIM58
ENST00000368093.3	NM_033438	SLAMF9
ENST00000366476.1	NM_001004690	OR2M5
ENST00000368088.3	NM_004983	KCNJ9
ENST00000614243.4	NM_001206665	IGSF8
ENST00000367922.7	NM_001014796	DDR2
ENST00000360472.8	NM_003768	PEA15
ENST00000368072.9	NM_002857	PEX19
ENST00000294785.9	NM_015331	NCSTN
ENST00000368061.2	NM_020335	VANGL2
ENST00000368059.7	NM_052931	SLAMF6
ENST00000294794.7	NM_015441	OLFML2B
ENST00000367948.6	NM_001002901	FCRLB
ENST00000367964.6	NM_000570	FCGR3B
ENST00000367714.3	NM_178527	SLC9C2
ENST00000368011.8	NM_152366	KLHDC9
ENST00000294811.2	NM_152485	C1orf74
ENST00000342310.7	NM_177398	LMX1A
ENST00000294818.1	NM_001005214	LRRC52
ENST00000366971.8	NM_014053	FLVCR1
ENST00000294829.4	NM_153606	FAM71A
ENST00000366987.6	NM_001030287	ATF3
ENST00000369784.7	NM_022768	RBM15
ENST00000369752.5	NM_001271833	DENND2D
ENST00000367618.7	NM_144696	AXDND1
ENST00000367614.5	NM_001199091	TDRD5
ENST00000367577.6	NM_016545	IER5
ENST00000469520.6	NM_006085	BPNT1
ENST00000366933.4	NM_138796	SPATA17
ENST00000294889.5	NM_024709	C1orf115
ENST00000340934.9	NM_144695	BROX
ENST00000392971.6	NM_001278267	NBPF20
ENST00000583509.6	NM_016361	ACP6
ENST00000366552.6	n/a	n/a
ENST00000407071.6	NM_018012,	KIF26B,
ENST00000366514.4	NM_022366	TFB2M
ENST00000366513.8	NM_152609	CNST
ENST00000539253.5	NM_001271865	KLHDC8A
ENST00000367136.4	NM_152491	PM20D1
ENST00000366600.7	NM_152490,	B3GALNT2,
ENST00000367119.1	n/a	n/a
ENST00000294981.8	NM_004759	MAPKAPK2
ENST00000367098.5	NM_018724	IL20
ENST00000294984.6	NM_006850	IL24
ENST00000367091.7	NM_005449	FCMR
ENST00000356495.4	NM_002644	PIGR
ENST00000400962.7	NM_001122979	FCAMR
ENST00000295006.5	NM_001748	CAPN2
ENST00000391867.7	NM_181455	MRPL55
ENST00000472613.2	NR_073155	OBSCN-AS1
ENST00000414423.7	NM_025160	WDR26
ENST00000295033.7	NM_001024940,	TRIM17,
ENST00000366636.8	NM_001012959	DISC1
ENST00000366816.5	NR_002315,	H3F3AP4,
ENST00000366779.5	NM_020247	COQ8A
ENST00000369068.4	NM_015203	RPRD2
ENST00000368985.7	NM_004079	CTSS
ENST00000368931.7	NM_138278	BNIPL
ENST00000368910.3	NM_024575	TNFAIP8L2
ENST00000368908.9	NM_212551	LYSMD1
ENST00000368905.8	NM_024041	SCNM1
ENST00000295314.8	NM_013353	TMOD4
ENST00000368892.8	NM_005997	VPS72
ENST00000271638.2	NM_005620	S100A11
ENST00000368787.3	NM_032563	LCE3D
ENST00000368765.3	NM_030663	SMCP
ENST00000368764.3	NM_005547	IVL
ENST00000331860.7	NM_005416	SPRR3
ENST00000368758.3	NM_006945	SPRR2D
ENST00000359650.9	NM_020393	PGLYRP4
ENST00000368738.3	NM_002965	S100A9
ENST00000368737.4	NM_005621	S100A12
